"country","category","rental_count"
"Sudan","Family","3"
"Tanzania","Sci-Fi","3"
"Sweden","Family","3"
"Sri Lanka","Travel","3"
"Madagascar","Sports","3"
"Angola","Sci-Fi","3"
"Virgin Islands, U.S.","Drama","3"
"New Zealand","Sports","3"
"Latvia","New","3"
"Brunei","Travel","3"
"Cameroon","Sports","3"
"Chad","Games","3"
"Brunei","Children","3"
"Belarus","Sci-Fi","3"
"Austria","Children","3"
"Cameroon","Music","3"
"Virgin Islands, U.S.","New","3"
"Angola","Action","3"
"Hong Kong","Games","3"
"Greece","Drama","3"
"Chile","Music","3"
"Yugoslavia","Drama","3"
"Austria","Sci-Fi","3"
"Brunei","Documentary","3"
"Tuvalu","Games","3"
"Turkmenistan","Documentary","3"
"Mozambique","Horror","3"
"Iraq","Games","3"
"Sweden","Documentary","3"
"Oman","Games","3"
"Virgin Islands, U.S.","Comedy","3"
"Hungary","Sports","3"
"Israel","Games","3"
"Slovakia","Documentary","3"
"Oman","Documentary","3"
"Gambia","Action","3"
"Kazakstan","Action","3"
"Morocco","Music","3"
"Holy See (Vatican City State)","Sports","3"
"Finland","Sports","3"
"Gambia","Drama","3"
"Yemen","Music","3"
"Greece","Comedy","3"
"Peru","Music","3"
"Malaysia","Animation","3"
"Congo, The Democratic Republic of the","Action","3"
"Anguilla","Children","3"
"Paraguay","Travel","3"
"Hungary","Travel","3"
"Liechtenstein","Classics","3"
"Greece","New","3"
"French Polynesia","Family","3"
"Algeria","Documentary","3"
"Israel","Travel","3"
"Sweden","Foreign","3"
"Armenia","Sci-Fi","3"
"Myanmar","Sci-Fi","3"
"Slovakia","Travel","3"
"Sudan","Action","3"
"Azerbaijan","Sports","3"
"Bolivia","Sci-Fi","3"
"Dominican Republic","Action","3"
"Tuvalu","Sci-Fi","3"
"Paraguay","Documentary","3"
"Tanzania","Children","3"
"Puerto Rico","Travel","3"
"Switzerland","Sci-Fi","3"
"Greece","Horror","3"
"Oman","Family","3"
"Paraguay","Games","3"
"Belarus","Comedy","3"
"United Arab Emirates","Documentary","3"
"Finland","Family","3"
"Greenland","Drama","2"
"Lithuania","Music","2"
"Zambia","Foreign","2"
"French Guiana","Comedy","2"
"Romania","Family","2"
"Ethiopia","Classics","2"
"Senegal","Family","2"
"Turkmenistan","Action","2"
"Lithuania","Classics","2"
"Nauru","Children","2"
"Bulgaria","Travel","2"
"Czech Republic","Music","2"
"Finland","Children","2"
"Finland","Comedy","2"
"Iraq","Action","2"
"Afghanistan","Classics","2"
"Afghanistan","New","2"
"Lithuania","Animation","2"
"Nauru","Sci-Fi","2"
"Malawi","Children","2"
"Finland","New","2"
"Afghanistan","Drama","2"
"Virgin Islands, U.S.","Horror","2"
"Greenland","Family","2"
"Belarus","Music","2"
"Estonia","Foreign","2"
"Slovakia","Sports","2"
"Estonia","Games","2"
"Kenya","Horror","2"
"Senegal","Games","2"
"Slovakia","Games","2"
"Zambia","Classics","2"
"Austria","Foreign","2"
"North Korea","Children","2"
"Hong Kong","Sci-Fi","2"
"Myanmar","Children","2"
"Hong Kong","Action","2"
"Malawi","Comedy","2"
"New Zealand","Travel","2"
"Saint Vincent and the Grenadines","Drama","2"
"Holy See (Vatican City State)","Classics","2"
"Kenya","Classics","2"
"Tunisia","Documentary","2"
"Armenia","Sports","2"
"Saint Vincent and the Grenadines","Action","2"
"Moldova","Documentary","2"
"Nepal","Horror","2"
"Liechtenstein","Family","2"
"Tonga","Foreign","2"
"Greenland","Documentary","2"
"Dominican Republic","Classics","2"
"Israel","Music","2"
"Saint Vincent and the Grenadines","Music","2"
"Brunei","Sci-Fi","2"
"Bangladesh","Children","2"
"Congo, The Democratic Republic of the","Music","2"
"Hong Kong","Classics","2"
"Sudan","Documentary","2"
"Chad","Action","2"
"Hungary","Classics","2"
"Ecuador","Classics","2"
"Ethiopia","Sports","2"
"Cambodia","New","2"
"Czech Republic","Travel","2"
"Lithuania","Travel","2"
"Kuwait","Music","2"
"Lithuania","New","2"
"New Zealand","Sci-Fi","2"
"Tuvalu","Animation","2"
"North Korea","Sports","2"
"Malawi","Family","2"
"Nepal","Sports","2"
"Liechtenstein","Documentary","2"
"Estonia","Action","2"
"Sri Lanka","Sports","2"
"Tunisia","Drama","2"
"Nepal","Travel","2"
"Ethiopia","Drama","2"
"Gambia","New","2"
"Austria","Games","2"
"Zambia","Music","2"
"Iraq","Documentary","2"
"Kuwait","Games","2"
"Ethiopia","Children","2"
"French Polynesia","Drama","2"
"Armenia","Documentary","2"
"Dominican Republic","Children","2"
"Moldova","Travel","2"
"Madagascar","Comedy","2"
"Iraq","Foreign","2"
"Armenia","Family","2"
"Turkmenistan","Foreign","2"
"Tonga","Documentary","2"
"Gambia","Sci-Fi","2"
"Myanmar","Documentary","2"
"North Korea","Foreign","2"
"Estonia","Sci-Fi","2"
"French Polynesia","Children","2"
"Tunisia","Children","2"
"Gambia","Animation","2"
"Gambia","Foreign","2"
"Hong Kong","Children","2"
"Greenland","Music","2"
"Senegal","Music","2"
"Lithuania","Sports","2"
"Madagascar","New","2"
"Romania","Documentary","2"
"Nauru","Family","2"
"Sweden","Travel","2"
"Yugoslavia","Comedy","2"
"Nauru","Music","2"
"Kazakstan","Foreign","2"
"Oman","Children","2"
"Liechtenstein","Sports","2"
"Runion","New","2"
"North Korea","Games","2"
"Greenland","Travel","2"
"Cameroon","Sci-Fi","2"
"Zambia","Family","2"
"Brunei","Classics","2"
"Myanmar","Games","2"
"Gambia","Games","2"
"Congo, The Democratic Republic of the","Documentary","2"
"Tuvalu","Comedy","2"
"Kazakstan","New","2"
"Sweden","Horror","2"
"French Guiana","Foreign","2"
"Moldova","Drama","2"
"Bulgaria","Action","2"
"Tuvalu","Action","2"
"Tuvalu","Travel","2"
"Angola","Sports","2"
"Slovakia","Sci-Fi","2"
"Madagascar","Sci-Fi","2"
"Hungary","New","2"
"United Arab Emirates","Horror","2"
"Ethiopia","Games","2"
"French Guiana","Travel","2"
"Zambia","Horror","2"
"Virgin Islands, U.S.","Children","2"
"Finland","Animation","2"
"Brunei","Horror","2"
"Turkmenistan","Drama","2"
"Czech Republic","Horror","2"
"Sudan","Animation","2"
"Tonga","Music","2"
"Nepal","Comedy","2"
"Czech Republic","Games","2"
"Afghanistan","Documentary","2"
"New Zealand","New","2"
"Holy See (Vatican City State)","Music","2"
"Mozambique","Animation","2"
"Nepal","Classics","2"
"Belarus","Documentary","2"
"Belarus","Children","2"
"Estonia","Comedy","2"
"Chad","Horror","2"
"Czech Republic","Family","2"
"Cambodia","Music","2"
"Greenland","Foreign","2"
"Latvia","Horror","2"
"North Korea","Family","2"
"Kuwait","Comedy","2"
"Sri Lanka","Drama","2"
"Senegal","Classics","2"
"Switzerland","Children","2"
"North Korea","Comedy","2"
"Greece","Foreign","2"
"Latvia","Music","2"
"Kuwait","Family","2"
"Congo, The Democratic Republic of the","Sci-Fi","2"
"Runion","Comedy","2"
"Madagascar","Games","2"
"Chad","Music","2"
"Belarus","Foreign","2"
"Puerto Rico","Classics","2"
"Greenland","Comedy","2"
"Iraq","New","2"
"Mozambique","Classics","2"
"Morocco","Drama","2"
"Myanmar","Foreign","2"
"Paraguay","Action","2"
"Moldova","Animation","2"
"Sweden","Comedy","2"
"Senegal","Drama","2"
"Anguilla","New","2"
"Lithuania","Documentary","2"
"Brunei","Action","2"
"Romania","Drama","2"
"Iraq","Family","2"
"Czech Republic","Foreign","2"
"Turkmenistan","Sports","2"
"Oman","Action","2"
"Tunisia","Animation","2"
"Cameroon","Travel","2"
"Kuwait","Children","2"
"Greenland","Action","2"
"Estonia","Travel","2"
"Lithuania","Foreign","2"
"Oman","Sports","2"
"Yugoslavia","Documentary","2"
"Puerto Rico","Family","2"
"Moldova","New","2"
"Bahrain","Travel","2"
"Greece","Documentary","2"
"Faroe Islands","Comedy","2"
"Saint Vincent and the Grenadines","Comedy","2"
"Finland","Sci-Fi","2"
"Gambia","Travel","2"
"Senegal","New","2"
"American Samoa","Comedy","2"
"Liechtenstein","Horror","2"
"Nauru","Travel","2"
"Kuwait","Sports","2"
"Virgin Islands, U.S.","Music","2"
"Myanmar","Animation","2"
"Chile","Horror","2"
"Holy See (Vatican City State)","Children","2"
"Holy See (Vatican City State)","Sci-Fi","2"
"Saint Vincent and the Grenadines","Games","2"
"Tonga","New","2"
"Turkmenistan","Travel","2"
"New Zealand","Horror","2"
"Zambia","Action","2"
"Cambodia","Horror","2"
"Algeria","Horror","2"
"Turkmenistan","Classics","2"
"Hungary","Documentary","2"
"Estonia","Horror","2"
"Kuwait","Documentary","2"
"Puerto Rico","Documentary","2"
"Yugoslavia","Music","2"
"Gambia","Documentary","2"
"Dominican Republic","Animation","2"
"Madagascar","Documentary","2"
"Anguilla","Classics","2"
"Malawi","Documentary","2"
"Tunisia","Music","2"
"Hungary","Comedy","2"
"Greenland","Horror","2"
"Armenia","Action","2"
"Finland","Travel","2"
"Iraq","Sci-Fi","1"
"Moldova","Comedy","1"
"Kuwait","Animation","1"
"Cambodia","Comedy","1"
"Tuvalu","New","1"
"French Polynesia","Animation","1"
"Madagascar","Animation","1"
"Iraq","Horror","1"
"American Samoa","Games","1"
"Senegal","Foreign","1"
"Armenia","Comedy","1"
"Bolivia","Travel","1"
"Faroe Islands","Music","1"
"Azerbaijan","Classics","1"
"Kenya","Sci-Fi","1"
"Mozambique","Drama","1"
"Sweden","Music","1"
"Nepal","Music","1"
"Angola","Drama","1"
"Congo, The Democratic Republic of the","Animation","1"
"Sweden","New","1"
"Yugoslavia","Classics","1"
"Angola","Documentary","1"
"Brunei","Music","1"
"New Zealand","Foreign","1"
"Cameroon","Comedy","1"
"Iraq","Drama","1"
"American Samoa","Drama","1"
"Nepal","Games","1"
"Anguilla","Documentary","1"
"Kazakstan","Games","1"
"Czech Republic","Drama","1"
"Tonga","Family","1"
"Chad","Children","1"
"Sudan","New","1"
"North Korea","Sci-Fi","1"
"Bulgaria","Games","1"
"Estonia","New","1"
"Chile","Documentary","1"
"Turkmenistan","Children","1"
"Virgin Islands, U.S.","Sports","1"
"Mozambique","Comedy","1"
"Oman","Music","1"
"Afghanistan","Action","1"
"Angola","Family","1"
"Faroe Islands","Action","1"
"Lithuania","Sci-Fi","1"
"Brunei","Family","1"
"Armenia","Drama","1"
"Estonia","Drama","1"
"Anguilla","Action","1"
"Liechtenstein","Comedy","1"
"American Samoa","Action","1"
"American Samoa","Horror","1"
"Finland","Classics","1"
"Estonia","Music","1"
"French Guiana","Family","1"
"Czech Republic","Classics","1"
"Slovakia","Classics","1"
"Azerbaijan","Documentary","1"
"North Korea","Action","1"
"Paraguay","Children","1"
"Malaysia","New","1"
"New Zealand","Action","1"
"Saint Vincent and the Grenadines","Family","1"
"Holy See (Vatican City State)","Family","1"
"American Samoa","Sci-Fi","1"
"Afghanistan","Foreign","1"
"Greenland","Animation","1"
"Moldova","Sci-Fi","1"
"Lithuania","Family","1"
"Hungary","Drama","1"
"Ethiopia","Sci-Fi","1"
"Malawi","Foreign","1"
"Nepal","Drama","1"
"Runion","Music","1"
"Bulgaria","Horror","1"
"Tunisia","Games","1"
"Bahrain","Documentary","1"
"Saint Vincent and the Grenadines","Travel","1"
"Zambia","Children","1"
"United Arab Emirates","Animation","1"
"Hong Kong","Drama","1"
"Faroe Islands","Documentary","1"
"Slovakia","Horror","1"
"French Guiana","Documentary","1"
"Malawi","Animation","1"
"Switzerland","Music","1"
"Runion","Sports","1"
"Latvia","Documentary","1"
"Tunisia","New","1"
"Saint Vincent and the Grenadines","Sci-Fi","1"
"Malawi","Horror","1"
"Turkmenistan","Comedy","1"
"Saudi Arabia","Drama","1"
"Virgin Islands, U.S.","Foreign","1"
"Chad","New","1"
"Bahrain","Classics","1"
"Congo, The Democratic Republic of the","Sports","1"
"Zambia","Travel","1"
"Hong Kong","New","1"
"Congo, The Democratic Republic of the","New","1"
"Kuwait","New","1"
"Sri Lanka","Animation","1"
"Holy See (Vatican City State)","Comedy","1"
"Estonia","Children","1"
"Gambia","Horror","1"
"Hungary","Games","1"
"Ethiopia","Travel","1"
"Bolivia","Horror","1"
"Sweden","Sports","1"
"American Samoa","Music","1"
"Bahrain","Games","1"
"Lithuania","Drama","1"
"Hungary","Music","1"
"Ethiopia","New","1"
"Nauru","Action","1"
"Brunei","Animation","1"
"Ethiopia","Documentary","1"
"Saint Vincent and the Grenadines","Animation","1"
"New Zealand","Animation","1"
"Holy See (Vatican City State)","Horror","1"
"North Korea","Travel","1"
"Afghanistan","Sci-Fi","1"
"Chad","Comedy","1"
"Hong Kong","Music","1"
"Lithuania","Comedy","1"
"American Samoa","Foreign","1"
"Bahrain","New","1"
"Chad","Family","1"
"Estonia","Animation","1"
"Zambia","Sci-Fi","1"
"Latvia","Family","1"
"Gambia","Classics","1"
"Ethiopia","Music","1"
"Bolivia","Drama","1"
"France","Games","1"
"American Samoa","Classics","1"
"Myanmar","Classics","1"
"Angola","Travel","1"
"Virgin Islands, U.S.","Action","1"
"Malawi","New","1"
"Tunisia","Horror","1"
"Senegal","Action","1"
"Hong Kong","Animation","1"
"Afghanistan","Animation","1"
"New Zealand","Children","1"
"Bahrain","Foreign","1"
"Slovakia","Animation","1"
"Iraq","Classics","1"
"Brunei","Games","1"
"Chad","Classics","1"
"France","Documentary","1"
"Kuwait","Action","1"
"Faroe Islands","Children","1"
"Virgin Islands, U.S.","Sci-Fi","1"
"Hong Kong","Comedy","1"
"Holy See (Vatican City State)","Travel","1"
"French Polynesia","Horror","1"
"Afghanistan","Travel","1"
"Austria","Horror","1"
"Zambia","Sports","1"
"United Arab Emirates","Comedy","1"
"Runion","Drama","1"
"Angola","Games","1"
"Romania","Travel","1"
"Turkmenistan","Animation","1"
"American Samoa","Animation","1"
"Kenya","Drama","1"
"Sudan","Sports","1"
"Nepal","Animation","1"
"Nauru","Classics","1"
"Nepal","Action","1"
"Tonga","Horror","1"
"Faroe Islands","Games","1"
"Azerbaijan","Travel","1"
"Austria","Music","1"
"Sweden","Children","1"
"Nepal","Family","1"
"Sri Lanka","New","1"
"Afghanistan","Children","1"
"Cameroon","Drama","1"
"Bahrain","Drama","1"
"Turkmenistan","Horror","1"
"Greenland","Sci-Fi","1"
"Tonga","Comedy","1"
"Faroe Islands","Travel","1"
"Senegal","Sports","1"
"Kazakstan","Classics","1"
"Tonga","Sci-Fi","1"
"Brunei","New","1"
"French Guiana","Music","1"
"Ethiopia","Comedy","1"
"French Guiana","Sports","1"
"Morocco","Travel","1"
"Liechtenstein","New","1"
"Tanzania","Foreign","1"
"Kuwait","Drama","1"
"Gambia","Music","1"
"Iraq","Travel","1"
"Malawi","Travel","1"
"Paraguay","Drama","1"
"Saint Vincent and the Grenadines","Foreign","1"
"Cambodia","Drama","1"
"Afghanistan","Games","1"
"Morocco","New","1"
"Kazakstan","Sci-Fi","1"
"Hungary","Action","1"
"Tonga","Drama","1"
"Ethiopia","Foreign","1"
"Faroe Islands","New","1"
"Moldova","Music","1"
"Myanmar","Music","1"
"Anguilla","Comedy","1"
"Nauru","Foreign","1"
"North Korea","Horror","1"
"Madagascar","Foreign","1"
"Bolivia","Games","1"
"Liechtenstein","Children","1"
"French Guiana","Sci-Fi","1"
"Estonia","Documentary","1"
"Sweden","Animation","1"
"Malawi","Drama","1"
"French Guiana","Horror","1"
"Gambia","Children","1"
"North Korea","New","1"
"Moldova","Horror","1"
"Sri Lanka","Documentary","1"
"American Samoa","Children","1"
"Nauru","New","1"
"Switzerland","Horror","1"
"Chad","Travel","1"
"Tonga","Animation","1"
"Armenia","Music","1"
"Senegal","Documentary","1"
"New Zealand","Documentary","1"
"Lithuania","Horror","1"
"Czech Republic","Action","1"
NULL,"Family","0"
NULL,"Foreign","0"
NULL,"Comedy","0"
NULL,"Sci-Fi","0"
NULL,"Classics","0"
NULL,"Documentary","0"
NULL,"Games","0"
"Canada",NULL,"0"
NULL,"Drama","0"
NULL,"Horror","0"
NULL,"Children","0"
NULL,"Animation","0"
NULL,"New","0"
NULL,"Travel","0"
"Australia",NULL,"0"
NULL,"Sports","0"
NULL,"Action","0"
